iter	Passed	Remaining
0	0	80
1	1	83
2	2	77
3	2	68
4	3	71
5	4	71
6	5	69
7	6	70
8	6	68
9	7	71
10	8	70
11	9	70
12	10	68
13	10	67
14	11	67
15	12	65
16	13	63
17	13	62
18	14	62
19	15	62
20	16	61
21	16	59
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	37	38
49	37	37
50	38	36
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
