iter	Passed	Remaining
0	137	137032
1	138	69193
2	139	46272
3	139	34838
4	140	27979
5	141	23444
6	142	20227
7	143	17792
8	144	15902
9	145	14356
10	145	13094
11	146	12041
12	146	11157
13	147	10391
14	148	9735
15	148	9155
16	149	8638
17	150	8205
18	151	7809
19	152	7451
20	152	7118
21	153	6815
22	153	6537
23	154	6278
24	154	6043
25	155	5829
26	156	5631
27	156	5443
28	157	5276
29	158	5108
30	158	4954
31	158	4809
32	159	4673
33	160	4549
34	160	4428
35	161	4323
36	161	4215
37	162	4114
38	163	4017
39	163	3924
40	164	3839
41	164	3756
42	165	3679
43	166	3606
44	166	3536
45	167	3469
46	167	3400
47	168	3338
48	168	3274
49	169	3221
50	169	3161
51	170	3105
52	170	3054
53	171	3004
54	172	2956
55	172	2909
56	173	2865
57	173	2822
58	174	2783
59	175	2742
60	175	2701
61	176	2663
62	176	2626
63	177	2589
64	177	2554
65	178	2519
66	178	2486
67	179	2460
68	180	2428
69	180	2397
70	180	2368
71	181	2340
72	182	2313
73	182	2285
74	183	2262
75	183	2236
76	184	2210
77	184	2186
78	185	2163
79	186	2139
80	186	2117
81	187	2097
82	187	2076
83	188	2053
84	188	2033
85	189	2013
86	190	1994
87	190	1973
88	190	1954
89	191	1936
90	192	1919
91	192	1901
92	193	1884
93	193	1866
94	194	1849
95	194	1834
96	195	1819
97	196	1804
98	196	1789
99	197	1775
100	197	1760
101	198	1746
102	199	1734
103	199	1720
104	200	1707
105	200	1694
106	201	1681
107	201	1667
108	202	1655
109	203	1642
110	203	1630
111	204	1617
112	204	1606
113	205	1594
114	205	1583
115	206	1572
116	206	1561
117	207	1549
118	207	1539
119	208	1528
120	209	1518
121	209	1508
122	210	1498
123	210	1490
124	211	1480
125	212	1470
126	212	1461
127	213	1451
128	213	1442
129	213	1431
130	214	1422
131	214	1413
132	215	1404
133	216	1396
134	216	1387
135	217	1379
136	217	1370
137	218	1363
138	218	1355
139	219	1347
140	219	1339
141	220	1332
142	221	1324
143	221	1317
144	222	1309
145	222	1302
146	223	1295
147	223	1288
148	224	1281
149	225	1277
150	226	1271
151	226	1265
152	227	1260
153	228	1253
154	228	1246
155	229	1239
156	229	1233
157	230	1226
158	230	1220
159	231	1214
160	231	1207
161	232	1201
162	232	1195
163	233	1189
164	233	1183
165	234	1178
166	235	1173
167	235	1167
168	236	1161
169	236	1155
170	237	1150
171	237	1145
172	238	1139
173	238	1133
174	239	1129
175	240	1123
176	240	1119
177	241	1115
178	242	1110
179	242	1105
180	243	1100
181	243	1095
182	244	1090
183	244	1085
184	245	1080
185	246	1076
186	246	1071
187	246	1066
188	247	1061
189	248	1057
190	248	1053
191	249	1048
192	249	1044
193	250	1040
194	250	1036
195	251	1031
196	252	1027
197	252	1023
198	253	1019
199	253	1015
200	254	1011
201	255	1007
202	255	1003
203	256	1000
204	256	996
205	257	993
206	258	989
207	258	985
208	259	982
209	260	978
210	260	974
211	261	970
212	261	966
213	262	962
214	262	958
215	262	954
216	263	950
217	264	947
218	264	943
219	265	940
220	265	936
221	266	932
222	267	931
223	267	927
224	268	924
225	269	921
226	269	918
227	270	915
228	271	912
229	271	910
230	272	907
231	273	904
232	273	901
233	274	898
234	274	894
235	275	891
236	275	888
237	276	885
238	277	882
239	277	879
240	278	875
241	278	873
242	279	870
243	279	867
244	280	864
245	280	861
246	281	858
247	282	855
248	282	853
249	283	849
250	283	847
251	284	844
252	285	841
253	285	839
254	286	836
255	286	834
256	287	831
257	288	830
258	289	827
259	289	825
260	290	822
261	291	820
262	291	817
263	292	815
264	293	812
265	293	810
266	294	807
267	294	804
268	295	802
269	296	800
270	296	797
271	297	795
272	297	792
273	298	790
274	298	787
275	299	785
276	300	783
277	300	780
278	301	777
279	301	776
280	302	773
281	303	771
282	303	769
283	304	766
284	304	764
285	305	762
286	305	759
287	306	757
288	306	755
289	307	753
290	308	750
291	308	748
292	309	746
293	309	743
294	310	741
295	310	739
296	311	736
297	311	734
298	312	732
299	312	730
300	313	728
301	314	725
302	314	723
303	315	721
304	315	719
305	316	717
306	317	715
307	317	714
308	318	712
309	319	710
310	319	708
311	320	706
312	321	704
313	321	702
314	322	700
315	322	698
316	323	696
317	323	694
318	324	692
319	324	690
320	325	688
321	325	686
322	326	684
323	327	682
324	327	680
325	328	678
326	328	676
327	329	674
328	329	672
329	330	670
330	331	669
331	331	667
332	332	666
333	333	665
334	334	663
335	335	662
336	335	660
337	336	658
338	336	656
339	337	654
340	337	652
341	338	651
342	339	649
343	339	648
344	340	646
345	341	644
346	341	642
347	342	641
348	342	639
349	343	637
350	343	635
351	344	633
352	344	632
353	345	630
354	346	628
355	346	627
356	347	625
357	348	624
358	348	622
359	349	621
360	350	619
361	350	617
362	351	616
363	351	614
364	352	613
365	353	611
366	353	609
367	354	608
368	354	606
369	355	605
370	356	604
371	356	602
372	357	600
373	358	599
374	358	597
375	359	596
376	359	594
377	360	593
378	360	591
379	361	589
380	362	588
381	363	587
382	363	586
383	364	585
384	365	583
385	366	582
386	366	580
387	367	579
388	367	577
389	368	576
390	368	574
391	369	573
392	370	571
393	370	570
394	371	568
395	371	567
396	372	565
397	372	564
398	373	562
399	374	561
400	374	560
401	375	558
402	376	557
403	376	556
404	377	554
405	378	553
406	379	552
407	379	551
408	380	550
409	381	548
410	382	547
411	382	546
412	383	545
413	384	544
414	385	542
415	385	541
416	386	540
417	387	539
418	388	538
419	388	536
420	389	535
421	390	534
422	390	533
423	391	531
424	391	530
425	392	529
426	393	528
427	394	527
428	395	525
429	395	524
430	396	523
431	397	522
432	398	521
433	398	520
434	399	519
435	400	518
436	401	516
437	401	515
438	402	514
439	403	513
440	403	512
441	404	510
442	405	509
443	406	508
444	406	507
445	407	505
446	408	504
447	409	504
448	409	502
449	410	501
450	411	500
451	411	499
452	412	498
453	413	497
454	413	495
455	414	494
456	415	493
457	415	491
458	416	490
459	416	489
460	417	487
461	417	486
462	418	485
463	419	484
464	419	483
465	420	481
466	421	480
467	421	479
468	422	478
469	423	477
470	424	476
471	425	475
472	425	474
473	426	473
474	426	471
475	427	470
476	428	469
477	429	468
478	429	467
479	430	466
480	431	465
481	431	464
482	432	462
483	433	461
484	433	460
485	434	459
486	435	458
487	435	457
488	436	455
489	436	454
490	437	453
491	438	452
492	439	451
493	439	450
494	440	449
495	441	448
496	441	447
497	442	445
498	443	444
499	443	443
500	444	442
501	444	441
502	445	440
503	446	439
504	447	438
505	447	436
506	448	435
507	448	434
508	449	433
509	449	432
510	450	431
511	451	430
512	451	428
513	452	427
514	453	427
515	454	426
516	455	425
517	455	424
518	456	423
519	457	422
520	457	421
521	458	419
522	459	418
523	460	418
524	460	416
525	461	416
526	462	414
527	463	413
528	463	412
529	464	411
530	464	410
531	465	409
532	466	408
533	466	407
534	467	406
535	467	405
536	468	404
537	469	403
538	470	402
539	471	401
540	471	400
541	472	399
542	472	398
543	473	396
544	474	395
545	474	394
546	475	393
547	476	392
548	476	391
549	477	390
550	477	389
551	478	388
552	479	387
553	479	386
554	480	385
555	481	384
556	481	383
557	482	382
558	483	381
559	483	380
560	484	379
561	485	378
562	486	377
563	486	376
564	487	375
565	488	374
566	488	373
567	489	372
568	490	371
569	490	370
570	491	369
571	492	368
572	492	367
573	493	366
574	493	365
575	494	363
576	494	362
577	495	361
578	496	360
579	496	359
580	497	359
581	498	358
582	499	357
583	500	356
584	501	355
585	502	354
586	502	353
587	503	352
588	503	351
589	504	350
590	505	349
591	505	348
592	506	347
593	507	346
594	507	345
595	508	344
596	509	343
597	509	342
598	510	341
599	510	340
600	511	339
601	512	338
602	512	337
603	513	336
604	514	335
605	515	334
606	516	334
607	516	333
608	517	332
609	518	331
610	519	330
611	520	330
612	521	329
613	522	328
614	522	327
615	523	326
616	524	325
617	525	324
618	525	323
619	526	322
620	527	321
621	527	320
622	528	320
623	529	319
624	530	318
625	531	317
626	532	316
627	532	315
628	533	314
629	534	313
630	535	312
631	535	311
632	541	314
633	542	313
634	543	312
635	544	311
636	545	310
637	546	310
638	547	309
639	548	308
640	548	307
641	550	306
642	550	305
643	551	304
644	552	303
645	553	303
646	553	302
647	554	301
648	555	300
649	555	299
650	556	298
651	557	297
652	558	296
653	558	295
654	559	294
655	560	293
656	561	293
657	562	292
658	563	291
659	564	290
660	564	289
661	565	288
662	566	287
663	567	286
664	567	286
665	568	285
666	569	284
667	570	283
668	571	282
669	572	281
670	572	280
671	573	280
672	574	279
673	575	278
674	576	277
675	577	276
676	578	275
677	579	275
678	579	274
679	580	273
680	581	272
681	581	271
682	582	270
683	582	269
684	583	268
685	584	267
686	584	266
687	585	265
688	586	264
689	587	263
690	587	262
691	588	261
692	589	261
693	590	260
694	590	259
695	591	258
696	592	257
697	593	256
698	594	255
699	595	255
700	596	254
701	596	253
702	597	252
703	597	251
704	598	250
705	599	249
706	599	248
707	600	247
708	601	246
709	601	245
710	602	244
711	602	243
712	603	242
713	603	241
714	604	240
715	605	240
716	605	239
717	606	238
718	607	237
719	607	236
720	608	235
721	609	234
722	609	233
723	610	232
724	611	231
725	611	230
726	612	229
727	613	229
728	613	228
729	614	227
730	615	226
731	615	225
732	616	224
733	617	223
734	617	222
735	618	221
736	618	220
737	619	219
738	619	218
739	620	218
740	621	217
741	622	216
742	622	215
743	623	214
744	624	213
745	624	212
746	625	211
747	625	210
748	626	209
749	627	209
750	627	208
751	628	207
752	628	206
753	629	205
754	630	204
755	630	203
756	631	202
757	631	201
758	632	200
759	632	199
760	633	198
761	633	198
762	634	197
763	635	196
764	636	195
765	637	194
766	637	193
767	638	192
768	639	192
769	640	191
770	640	190
771	641	189
772	642	188
773	642	187
774	643	186
775	643	185
776	644	185
777	645	184
778	645	183
779	646	182
780	646	181
781	647	180
782	647	179
783	648	178
784	649	177
785	649	176
786	650	176
787	651	175
788	651	174
789	652	173
790	653	172
791	653	171
792	654	170
793	654	169
794	655	169
795	656	168
796	656	167
797	657	166
798	657	165
799	658	164
800	659	163
801	659	162
802	660	161
803	660	161
804	661	160
805	661	159
806	662	158
807	662	157
808	663	156
809	664	155
810	664	154
811	665	154
812	665	153
813	667	152
814	667	151
815	668	150
816	668	149
817	669	148
818	670	148
819	670	147
820	671	146
821	671	145
822	672	144
823	673	143
824	673	142
825	674	142
826	674	141
827	675	140
828	675	139
829	676	138
830	677	137
831	677	136
832	678	135
833	678	135
834	679	134
835	680	133
836	681	132
837	682	131
838	682	131
839	683	130
840	684	129
841	685	128
842	685	127
843	686	126
844	687	126
845	688	125
846	688	124
847	689	123
848	690	122
849	690	121
850	691	121
851	692	120
852	692	119
853	693	118
854	693	117
855	694	116
856	695	115
857	695	115
858	696	114
859	697	113
860	697	112
861	698	111
862	699	110
863	699	110
864	700	109
865	700	108
866	701	107
867	702	106
868	702	105
869	703	105
870	703	104
871	704	103
872	705	102
873	705	101
874	706	100
875	706	100
876	707	99
877	707	98
878	708	97
879	709	96
880	709	95
881	710	95
882	711	94
883	711	93
884	712	92
885	713	91
886	713	90
887	714	90
888	714	89
889	715	88
890	715	87
891	716	86
892	716	85
893	717	85
894	718	84
895	718	83
896	719	82
897	719	81
898	720	80
899	721	80
900	721	79
901	722	78
902	722	77
903	723	76
904	723	75
905	724	75
906	725	74
907	725	73
908	726	72
909	727	71
910	728	71
911	728	70
912	729	69
913	729	68
914	730	67
915	730	67
916	731	66
917	732	65
918	732	64
919	733	63
920	733	62
921	734	62
922	734	61
923	735	60
924	735	59
925	736	58
926	737	58
927	737	57
928	738	56
929	738	55
930	739	54
931	740	53
932	740	53
933	741	52
934	741	51
935	742	50
936	743	49
937	743	49
938	744	48
939	744	47
940	745	46
941	745	45
942	746	45
943	747	44
944	747	43
945	748	42
946	748	41
947	749	41
948	749	40
949	750	39
950	751	38
951	751	37
952	752	37
953	752	36
954	753	35
955	753	34
956	754	33
957	754	33
958	755	32
959	756	31
960	756	30
961	757	29
962	758	29
963	758	28
964	759	27
965	760	26
966	760	25
967	761	25
968	761	24
969	762	23
970	762	22
971	763	21
972	764	21
973	764	20
974	765	19
975	765	18
976	766	18
977	766	17
978	767	16
979	767	15
980	768	14
981	768	14
982	769	13
983	769	12
984	770	11
985	771	10
986	771	10
987	772	9
988	772	8
989	773	7
990	774	7
991	774	6
992	775	5
993	776	4
994	776	3
995	777	3
996	777	2
997	778	1
998	778	0
999	779	0
